"t (s)" "x (cm)" "y (cm)" "vx (cm/s)" "vy (cm/s)"
0.0 -14959787070000.0 0.0 -1548803.9751432005 -1191387.6731870773
765589.8547446904 -15979946912075.54 -908948468194.3616 -1125939.0259132849 -1179373.3907307794
1683064.3242079346 -16804245820544.133 -1974884024600.9727 -679677.8202615033 -1140496.6094079714
2809838.5204148297 -17287392395247.623 -3220273614719.2803 -185180.1472976306 -1065471.6194162003
4193154.247942822 -17147179880808.555 -4609537398347.067 384281.4033464124 -936102.9470813898
5671526.21944475 -16131928019458.672 -5859526472546.625 993352.550943773 -744008.9248733548
6876903.373378528 -14618068586285.041 -6632161012792.408 1527694.0349930502 -526126.6854791535
7802774.181622253 -12994417089955.041 -7018580648199.943 1989890.1310063214 -296793.72392087366
8546338.620986002 -11359668293924.5 -7151056592740.37 2418126.5681948755 -46718.21184263771
9164875.139474731 -9738202466236.248 -7096837594336.79 2836733.034426115 237104.6360624757
9690402.315294571 -8139194107840.307 -6889379264189.27 3262015.532659786 571359.3763650978
10142130.920106646 -6568635143736.602 -6544692076214.686 3706884.9547269633 980046.587678328
10532292.745356878 -5033027718322.371 -6067722097211.666 4182451.1104149176 1501106.0266166995
10868946.501072625 -3541807277169.635 -5454142101754.556 4696258.646244714 2199792.1265043938
11157414.918226602 -2111007584872.6055 -4689062305294.209 5241034.005739016 3198837.500116225
11401055.13882343 -771906815460.04 -3742090089421.258 5743096.561611199 4752700.914771392
11601733.266128667 402817787143.6509 -2557548902273.8594 5799554.877641271 7419118.905298353
11760594.185002556 1206216013625.201 -1062700082066.4631 3339401.073735407 11821774.424684096
11882373.136378929 1170429364578.4373 531232351503.3059 -4716655.1652087215 13005388.318645211
11990508.8718885 376563241230.8231 1661642946401.7754 -8859891.383510271 7736366.835146651
12117694.291127723 -760513549160.5316 2359027909406.736 -8678851.833555102 3752741.757927309
12275907.666898372 -2044832821144.0952 2755977519751.0723 -7558730.40894803 1571921.6165387519
12469676.00588663 -3394463771515.552 2927756977413.816 -6428754.345607568 354967.99148016376
12702023.266347896 -4767037083207.131 2916934255012.6206 -5440225.469099124 -366682.18071864836
12976385.443157172 -6136626531395.414 2748239994282.1445 -4587244.275894644 -816387.7771541558
13297457.500921708 -7483809706442.565 2435214487374.667 -3839125.881706268 -1104730.7748245846
13671928.554852944 -8790227318993.404 1983336996410.0818 -3166117.7893514237 -1289750.1081458954
14109510.930320093 -10034222330098.37 1391256216144.9229 -2542630.1428174553 -1403119.6954906494
14624639.93653529 -11185206219961.91 650789615900.315 -1945570.1711775884 -1461796.885311791
15239374.716325352 -12193359546718.96 -253749451093.66455 -1351238.864345305 -1472893.8261832679
15987807.395665485 -12967136099505.982 -1344567776203.5156 -730989.5486371428 -1434356.9597586775
16917053.827385783 -13323432107368.135 -2633866778569.762 -46975.10534344858 -1331514.668942412
18039871.797664095 -12938023302663.148 -4026042866041.0986 730411.7825350526 -1134324.769287418
19148705.879805412 -11696632102327.426 -5131927822330.027 1518820.2012077468 -839736.6147720881
20010691.297962457 -10099335491201.645 -5717778434339.784 2203567.5232699895 -496769.5748881706
20672960.16223592 -8441729925687.672 -5926132299664.23 2820480.494382552 -106850.48230662307
21202978.492003366 -6794262721711.954 -5868101475592.989 3416227.7214347664 357689.86276689335
21638501.418646824 -5179786951592.59 -5594769370521.727 4020099.46496345 941161.2098310587
22000829.199102376 -3613652712647.547 -5124918297676.977 4648897.0638280455 1718133.1232074853
22302667.17210259 -2115707376231.3433 -4455369350354.403 5297111.526118586 2828460.319225241
22551790.897829182 -722607511315.9495 -3560482134786.2 5873822.675576774 4563434.25404546
22752912.134267066 479857437605.41943 -2384417852966.7715 5867347.928220838 7552041.398660318
22909339.21768949 1245670721068.2507 -864043750583.4307 2751985.393912649 12216940.411886573
23028797.12880476 1099985189704.78 691359115234.1912 -5649090.033231355 12355939.604658447
23138908.297357585 229639373201.45325 1746459579556.5703 -9070110.092023088 6837545.3457011515
23270612.218512494 -950849287852.2513 2358555959139.867 -8578456.891571533 2982694.9018624933
23435327.639064495 -2257821526298.803 2652803638235.032 -7311896.514401351 886961.6843066369
23638433.947492626 -3610197327336.5996 2699198044314.7925 -6069908.314574799 -279768.0808402428
23884630.783377927 -4962267448974.147 2536205556665.584 -4973238.766425575 -963385.265208537
24179946.665758733 -6281029439911.168 2183741676182.834 -4006285.563846429 -1376360.833431628
24533095.188337225 -7534529681451.654 1648808325055.6802 -3131667.3047361136 -1623205.996676194
24957204.59809352 -8681940491489.52 927769479907.3937 -2311240.9594477895 -1756437.202421173
25472541.599979576 -9658711742541.855 7421785670.275757 -1506312.3359419752 -1799657.6178956965
26109980.44197914 -10345986373369.79 -1129890761731.8218 -672055.7788497569 -1754580.7858232656
26906185.579067696 -10509739491696.82 -2470896846111.4272 245866.21946609858 -1597180.9508102601
